"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Certain infectious and parasitic diseases"	"A00-B99"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Neoplasms"	"C00-D48"	654	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	125	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Mental and behavioural disorders"	"F01-F99"	196	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the nervous system"	"G00-G98"	451	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the circulatory system"	"I00-I99"	1424	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the respiratory system"	"J00-J98"	656	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the digestive system"	"K00-K92"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Diseases of the genitourinary system"	"N00-N98"	120	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"External causes of morbidity and mortality"	"V01-Y89"	100	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jan., 2018"	"2018/01"			4046	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Certain infectious and parasitic diseases"	"A00-B99"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Neoplasms"	"C00-D48"	585	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Mental and behavioural disorders"	"F01-F99"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Diseases of the nervous system"	"G00-G98"	352	Not Applicable	Not Applicable
